Subject,Mood,TaskTracking,StartDate,StartTime,EndDate,EndTime,Duration
SE,1,no,2024-10-21,14:00:00,2024-10-21,14:30:00,00:30:00
SE,3,yes,2024-10-21,15:30:00,2024-10-21,17:22:00,01:52:00
PBR,6,no,2024-10-22,09:24:00,2024-10-22,13:51:12,04:27:12
PBR,5,yes,2024-10-22,14:17:45,2024-10-22,15:23:22,01:05:37
PBR,7,no,2024-10-23,09:51:45,2024-10-23,11:38:45,01:47:00
PBR,4,no,2024-10-23,11:44:16,2024-10-23,12:50:16,01:06:00
PBR,3,yes,2024-10-23,13:26:11,2024-10-23,15:26:31,02:00:20
SE,5,no,2024-10-29,08:51:03,2024-10-29,10:30:00,01:38:57
SE,1,no,2024-10-29,15:32:01,2024-10-29,16:54:28,01:22:27
SE,4,no,2024-10-30,09:52:39,2024-10-30,11:51:52,01:59:13
SE,4,no,2024-10-30,12:45:00,2024-10-30,16:44:14,03:59:14
PPI,4,yes,2024-10-30,16:56:46,2024-10-30,18:00:46,01:04:00
PBR,4,no,2024-11-01,12:08:26,2024-11-01,17:36:26,05:28:00
PBR,1,no,2024-11-05,09:30:00,2024-11-05,16:45:00,07:15:00
PBR,4,no,2024-11-06,13:45:00,2024-11-06,16:45:00,03:00:00
PBR,6,yes,2024-11-07,14:30:00,2024-11-07,17:00:00,02:30:00
PBR,5,yes,2024-11-08,13:25:25,2024-11-08,13:27:19,00:01:54
DT,7,no,2024-11-08,13:28:00,2024-11-08,17:51:53,04:23:53
